,route,UTM lat,UTM lon
119,r1,2271856.7015668396,310329.5041892283
120,r1,2271857.868151271,310324.17705691746
121,r1,2271860.985793505,310319.2367130429
122,r1,2271864.375042139,310314.8626140846
123,r1,2271869.717555967,310310.6771613821
124,r1,2271875.4896101574,310306.10016048886
125,r1,2271881.856969069,310302.7500984112
126,r1,2271888.510686536,310298.4436770553
127,r1,2271896.784385719,310294.62465917354
128,r1,2271907.745534951,310291.2840820096
129,r1,2271917.7649050616,310288.09989240987
130,r1,2271927.2771355575,310285.7131575014
131,r1,2271937.756979809,310285.8195251984
132,r1,2271948.9681091723,310286.67456575343
133,r1,2271960.9226053683,310286.99553692463
134,r1,2271972.339246693,310285.9024809772
135,r1,2271983.4746291805,310286.7983973245
136,r1,2271994.5379430936,310286.01430238714
137,r1,2272005.3029294843,310285.3729021847
138,r1,2272015.35069219,310284.6087813488
139,r1,2272027.2097064266,310283.56238407944
140,r1,2272037.9189442983,310281.36632200517
141,r1,2272048.4937615683,310281.2964501125
142,r1,2272057.5924770925,310281.2414159423
143,r1,2272066.708673701,310281.20743680774
144,r1,2272075.7425131924,310280.31729568413
145,r1,2272085.5264068623,310278.3925356221
146,r1,2272094.642487626,310278.3689881009
147,r1,2272103.657739684,310277.4577846675
148,r1,2272113.150679977,310276.8022221611
149,r1,2272122.7237686794,310277.2009624179
150,r1,2272132.7520157625,310276.4992198311
151,r1,2272142.1648529847,310276.3746860907
152,r1,2272151.778732485,310274.8026565606
153,r1,2272160.8023553123,310273.1406117064
154,r1,2272169.4142845687,310270.36842586193
155,r1,2272174.838581136,310268.7809905532
156,r1,2272177.724343583,310268.156084676
157,r1,2272180.1885193055,310268.9970740379
158,r1,2272182.7590306043,310271.82090045983
159,r1,2272184.916381132,310275.2554755084
160,r1,2272186.3994803117,310279.5794919348
161,r1,2272187.7392894938,310283.54729907215
162,r1,2272189.0171095566,310289.7985280566
163,r1,2272189.336245648,310295.9347732186
164,r1,2272190.113438069,310302.39944509807
165,r1,2272191.0916035213,310309.01237233647
166,r1,2272192.5370624284,310315.02558154846
167,r1,2272194.1325686355,310319.29869564425
168,r1,2272192.895059223,310322.6432798585
169,r1,2272193.003082703,310326.2636025506
170,r1,2272193.410639676,310331.0241043527
171,r1,2272194.659036639,310334.94916705263
172,r1,2272196.367166228,310340.6419771197
173,r1,2272197.308235353,310345.6170167703
174,r1,2272199.086127915,310351.70693169686
175,r1,2272200.509472507,310358.1162163605
176,r1,2272202.3911618274,310364.7287713571
177,r1,2272203.886360803,310373.03706422023
178,r1,2272205.494999749,310381.0024380805
179,r1,2272207.233288166,310388.95882469043
180,r1,2272208.0264859027,310395.58010617504
181,r1,2272209.485977369,310402.12537126197
182,r1,2272210.7862015744,310409.6492546553
183,r1,2272212.3768496895,310417.5414117221
184,r1,2272214.0735098296,310425.9562336535
185,r1,2272215.7487981636,310434.6002692345
186,r1,2272216.969872243,310444.26135608024
187,r1,2272218.2301568603,310453.68299424695
188,r1,2272219.2929587346,310462.6435239553
189,r1,2272220.743943836,310471.54579646
190,r1,2272222.0858500795,310480.3008364476
191,r1,2272222.683471221,310489.6733698296
192,r1,2272223.8722758964,310498.85431982955
193,r1,2272225.080316427,310508.09806045087
194,r1,2272225.4925419036,310517.41637713823
195,r1,2272227.37501418,310527.345553334
196,r1,2272228.5850433526,310536.412005684
197,r1,2272230.505322025,310544.5372595163
198,r1,2272231.510641317,310550.4099414129
199,r1,2272231.752838874,310555.2102990259
200,r1,2272231.8063065843,310558.66312455456
